Designator,Mid X,Mid Y,Rotation,Layer
C1,55.500000,-22.250000,180.000000,top
C2,40.750000,-8.000000,180.000000,top
C3,31.250000,-8.000000,0.000000,top
C7,42.250000,-14.750000,0.000000,top
C8,40.750000,-10.000000,0.000000,top
C9,31.250000,-10.000000,180.000000,top
C10,31.250000,-12.000000,180.000000,top
C11,31.250000,-16.000000,90.000000,top
C12,4.750000,-12.500000,90.000000,top
C15,10.750000,-11.500000,180.000000,top
C16,14.250000,-11.500000,0.000000,top
C18,43.750000,-9.000000,-90.000000,top
C19,27.750000,-8.000000,0.000000,top
C20,27.750000,-13.500000,0.000000,top
C21,45.250000,-14.750000,0.000000,top
D1,62.000000,-10.500000,0.000000,top
D2,62.000000,-19.000000,180.000000,top
D3,55.500000,-26.750000,-90.000000,top
D6,10.000000,-8.750000,-90.000000,top
D7,27.750000,-15.500000,180.000000,top
L2,45.750000,-9.000000,90.000000,top
Q2,16.750000,-8.750000,180.000000,top
Q3,20.250000,-8.750000,90.000000,top
R3,45.750000,-17.250000,90.000000,top
R8,45.750000,-12.250000,-90.000000,top
R13,12.000000,-8.750000,-90.000000,top
R14,41.750000,-12.250000,-90.000000,top
R15,14.000000,-8.750000,-90.000000,top
R16,43.750000,-12.250000,-90.000000,top
R17,43.750000,-17.250000,-90.000000,top
R19,23.000000,-8.750000,90.000000,top
R21,70.000000,-3.500000,90.000000,top
R22,67.500000,-3.500000,90.000000,top
R24,27.750000,-17.500000,180.000000,top
R26,41.750000,-17.250000,-90.000000,top
T1,52.500000,-13.750000,0.000000,top
U1,36.750000,-14.750000,90.000000,top
U2,23.315000,-22.000000,0.000000,top
U4,27.750000,-10.750000,0.000000,top
Y1,36.000000,-9.000000,180.000000,top
